"","mean_s","d","el","mean_p","d_el","d2","el2","d_el_div","log_d","log_el","sqrt_d","sqrt_el","class"
"94",6,296,226,0.55,66896,87616,51076,1.30973451327434,5.69035945432406,5.42053499927229,17.2046505340853,15.0332963783729,0
"95",6,296,241,0.38,71336,87616,58081,1.22821576763485,5.69035945432406,5.48479693349065,17.2046505340853,15.52417469626,0
"96",6,301,106,0.55,31906,90601,11236,2.83962264150943,5.70711026474888,4.66343909411207,17.3493515728975,10.295630140987,0
"97",6,301,226,0.55,68026,90601,51076,1.33185840707965,5.70711026474888,5.42053499927229,17.3493515728975,15.0332963783729,0
"98",6,301,241,0.37,72541,90601,58081,1.24896265560166,5.70711026474888,5.48479693349065,17.3493515728975,15.52417469626,0
"99",6,306,106,0.55,32436,93636,11236,2.88679245283019,5.72358510195238,4.66343909411207,17.4928556845359,10.295630140987,0
"100",6,306,226,0.54,69156,93636,51076,1.35398230088496,5.72358510195238,5.42053499927229,17.4928556845359,15.0332963783729,0
"101",6,306,241,0.36,73746,93636,58081,1.26970954356846,5.72358510195238,5.48479693349065,17.4928556845359,15.52417469626,0
"102",6,311,106,0.55,32966,96721,11236,2.93396226415094,5.73979291217923,4.66343909411207,17.6351920885484,10.295630140987,0
"103",6,311,226,0.54,70286,96721,51076,1.37610619469027,5.73979291217923,5.42053499927229,17.6351920885484,15.0332963783729,0
"104",6,311,241,0.36,74951,96721,58081,1.29045643153527,5.73979291217923,5.48479693349065,17.6351920885484,15.52417469626,0
"105",6,316,226,0.53,71416,99856,51076,1.39823008849558,5.75574221358691,5.42053499927229,17.7763888346312,15.0332963783729,0
"106",6,316,241,0.35,76156,99856,58081,1.31120331950207,5.75574221358691,5.48479693349065,17.7763888346312,15.52417469626,1
"107",6,321,226,0.52,72546,103041,51076,1.42035398230089,5.77144112313002,5.42053499927229,17.9164728671689,15.0332963783729,0
"108",6,321,241,0.35,77361,103041,58081,1.33195020746888,5.77144112313002,5.48479693349065,17.9164728671689,15.52417469626,1
"109",6,326,226,0.51,73676,106276,51076,1.44247787610619,5.78689738136671,5.42053499927229,18.0554700852678,15.0332963783729,0
"110",6,326,241,0.34,78566,106276,58081,1.35269709543568,5.78689738136671,5.48479693349065,18.0554700852678,15.52417469626,1
"111",6,331,211,0.55,69841,109561,44521,1.56872037914692,5.80211837537706,5.35185813347607,18.1934053986603,14.5258390463339,0
"112",6,331,226,0.5,74806,109561,51076,1.4646017699115,5.80211837537706,5.42053499927229,18.1934053986603,15.0332963783729,0
"113",6,331,241,0.33,79771,109561,58081,1.37344398340249,5.80211837537706,5.48479693349065,18.1934053986603,15.52417469626,1
"114",6,336,211,0.55,70896,112896,44521,1.59241706161137,5.8171111599632,5.35185813347607,18.3303027798234,14.5258390463339,0
"115",6,336,226,0.49,75936,112896,51076,1.48672566371681,5.8171111599632,5.42053499927229,18.3303027798234,15.0332963783729,0
"116",6,336,241,0.32,80976,112896,58081,1.39419087136929,5.8171111599632,5.48479693349065,18.3303027798234,15.52417469626,1
"117",6,341,211,0.55,71951,116281,44521,1.61611374407583,5.83188247728352,5.35185813347607,18.4661853126194,14.5258390463339,0
"118",6,341,226,0.49,77066,116281,51076,1.50884955752212,5.83188247728352,5.42053499927229,18.4661853126194,15.0332963783729,1
"119",6,341,241,0.31,82181,116281,58081,1.4149377593361,5.83188247728352,5.48479693349065,18.4661853126194,15.52417469626,1
"120",6,346,211,0.55,73006,119716,44521,1.63981042654028,5.84643877505772,5.35185813347607,18.6010752377383,14.5258390463339,0
